numero_os,tss,dia,tse,data_execucao,data_competencia,equipe,atc,ato,municipio,bairro,logradouro,observacao
2632444180,SONDAR REDE DE ÁGUA,2026-08-13,SONDAGEM DE REDE DE AGUA,2026-08-13 16:21:00,2026-08-12 15:30:00,SAN INT - VAZAMENTO - JOSUE RODRIGUES,929,32,SÃO PAULO,JD ELIANA,"RUA PEDRO ESCOBAR, 333",necessário passar optometria a água vem de cima acompanha na rede
26100264619,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-05,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-05 15:43:00,2026-08-03 18:34:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD IPORANGA,"AVENIDA RODRIGUES VILARES, 447 - FDS C/2",
26100354291,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06 15:35:00,2026-08-04 14:13:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD IPORANGA,"TRAVESSA ALVARES, 8",
2631452013,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06 15:33:00,2026-08-04 14:57:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,ST JABOTICABEIRAS,"RUA MARIO GONCALVES DOS SANTOS, 213 - C/4",
26100479821,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06 09:26:00,2026-08-05 16:11:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD COLONIAL,"RUA GENERAL AZEVEDO PIMENTEL, 2 - C/6",
2622850642,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-06 10:52:00,2026-08-04 14:00:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,GRAJAU,"RUA ANTONIO JOSE ESCUDEIRO, 256 - A C/2",
2631645469,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-07,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-07 08:28:00,2026-08-06 10:22:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD PRESIDENTE,"RUA JANGADA NOVA, 211 - C/1",
26100658793,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 10:27:00,2026-08-07 00:03:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD MALIA,"RUA SARGENTO OTAVIO MATTOS BARREIROS, 39 - C/3",
2631983520,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 15:09:00,2026-08-08 15:58:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD PRESIDENTE,"RUA JANGADA NOVA, 194 - A C/1",
2631500466,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 08:42:00,2026-08-05 09:46:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,JD STA BARBARA,"RUA JOSE BARBOSA ARAUJO, 96 - C/5",
